immonet,262,https://www.immonet.de/expose/51ef16f8-1adc-4c71-ab99-e0eab249cb3d?ln=classified_search_results&serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08DE8634%26order%3DPriceAsc&m=classified_search_results_classified_classified_detail
immonet,298,https://www.immonet.de/expose/df2b0190-c8f6-4f7b-a41b-a97356693abd
howoge,307,https://www.howoge.de/immobiliensuche/wohnungssuche/detail/1771-12778-20.html?t=ibw
howoge,312,https://www.howoge.de/immobiliensuche/wohnungssuche/detail/1771-12735-13.html?t=ibw
immonet,317,https://www.immonet.de/expose/8f199ac4-925f-4bc2-8410-e52a91c510c7?ln=classified_search_results&serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08DE8634%26order%3DPriceAsc&m=classified_search_results_classified_classified_detail
degewo,324,https://immosuche.degewo.de/de/properties/W1400-40124-0030-0103.html
immonet,337,https://www.immonet.de/expose/bbf4d5ad-15ed-4894-a533-e10c8f464432?ln=classified_search_results&serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08DE8634%26order%3DPriceAsc&m=classified_search_results_classified_classified_detail
degewo,338,https://immosuche.degewo.de/de/properties/W1400-40109-0220-0404.html
immonet,339,https://www.immonet.de/expose/e5f93ee2-4b65-4b02-9b20-23a38c7f6ad4?ln=classified_search_results&serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08DE8634%26page%3D2%26order%3DPriceAsc&m=classified_search_results_classified_classified_detail
immonet,344,https://www.immonet.de/expose/1f55b630-e70f-451c-9ef8-40aac3039889?ln=classified_search_results&serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08DE8634%26page%3D2%26order%3DPriceAsc&m=classified_search_results_classified_classified_detail
deutsche-wohnen,421,https://www.deutsche-wohnen.com/expose/object/89-1527810012
immonet,434,https://www.immonet.de/expose/135faa9a-1318-43f6-bfc9-087b904b39d5
